ticker,business_summary,timestamp
CBRS,"Cerebras Systems Inc. operates as an artificial intelligence infrastructure company. It designs and manufactures an AI compute platform that comprises of proprietary systems and software that is delivered in racks for deployment in data centers up to supercomputer scale. The company's pioneering wafer-scale engine, a chip encompassing a silicon wafer, designed to enable higher performance and speeds than GPUs for the computational demands of inference, Generative AI, and other AI applications. Its customers include hyperscalers, foundation model labs, AI-native and digital-native businesses, enterprises, and leaders of Sovereign AI initiatives. The company has operations in the United States, Europe, the Middle East, Africa, and internationally. Cerebras Systems Inc. was founded in 2015 and is headquartered in Sunnyvale, California.",2026-05-19 12:16:51.272387
P,"Everpure, Inc. provides data storage and management technologies, products, and services in the United States and internationally. Its Purity software is shared across its products and provides enterprise-class data services, such as always-on data reduction, data protection, and encryption, as well as storage protocols, such as block, file, and object. The company also provides FlashArray, including FlashArray//ST, FlashArray//X, FlashArray//C, FlashArray//XL, FlashArray//E, and FlashArray File Services, addressing databases, applications, virtual machines, and other traditional workloads; and FlashBlade integrated hardware systems comprising FlashBlade//S, FlashBlade//E, and FlashBlade//EXA for managing and processing unstructured data workloads of various types from real-time log analytics and commercial high-performance computing (HPC) to data protection and recovery. In addition, it offers cloud storage solutions, such as Portworx by Everpure, a cloud-native Kubernetes data management solution; and Evergreen/One; and Evergreen/Flex. Further, the company provides Everpure Fusion, a Software-as-a-Service (SaaS) management plane, which enables storage administrators to unify storage arrays and optimize storage pools; Evergreen Architecture comprising Pure1, an AI-driven cloud-based management platform, as well as Evergreen//One and Evergreen//Flex data storage solutions; and Everpure Cloud, a virtual block storage array, that provides customers the flexibility to operate a hybrid cloud model with seamless data mobility across on-premises and public cloud environments. It sells its products and subscription services through a direct sales force and channel partners. Everpure, Inc. has a strategic alliance with Odine Solutions Teknoloji Ticaret ve Sanayi A.S. The company was formerly known as Pure Storage, Inc. and changed its name to Everpure, Inc. in February 2026. Everpure, Inc. was incorporated in 2009 and is headquartered in Santa Clara, California.",2026-05-19 12:16:51.758167
MAIR,"Madison Air Solutions Corporation manufactures and sells indoor air quality products and solutions in the United States and internationally. It offers heating, air filtration and purification, air movement, and air conditioning solutions under the Reznor, AprilAire, Big Ass Fans, Nortek Air Solutions and, Roberts-Gordon. The company also provides related services, such as custom design, installation, repair, and maintenance. The company distributes through various customer bases and sales channels, including direct sales to national, regional and local companies; manufacturers' sales representatives; distributors; and retail partners. It serves healthcare and life sciences, advanced manufacturing, data centers, logistics, and education industries, as well as residential markets. Madison Air Solutions Corporation was founded in 2017 and is based in Chicago, Illinois. Madison Air Solutions Corporation is a subsidiary of Madison Industries Holdings LLC.",2026-05-19 12:16:51.980888
ARXS,"Arxis, Inc. designs and manufactures electronic and mechanical components for mission critical applications in the United States. The company operates through two segments: Electronic Components and Mechanical Components. Its Electronic Components segment provides engineered electronic components and interconnect solutions, including connectors, cable assemblies, microelectronic packaging, radio frequency (RF) and microwave products, power products, sensors, capacitors. and resistors. The Mechanical Components segment offers precision and self-lubricating bearings, seals, springs, gaskets and ducting, and radar absorbing materials. It serves defense and space systems, commercial aerospace platforms, medical technology, semiconductor testing, analytical devices, industrial automation, and other specialized industrial sectors. The company was founded in 2019 and is based in Bloomfield, Connecticut.",2026-05-19 12:16:52.242466
FRVO,"Fervo Energy Company operates as a geothermal energy developer, builds, owns, and operates geothermal power facilities. The company's product incorporates horizontal drilling, advanced computational models, and distributed fiber optic sensing that increase the productivity and lifetime of geothermal wells. The company employs precision directional drilling technology to drill horizontally in geothermal reservoirs and develops a data analytics algorithm that enables the identification of existing resources and optimizes flow distribution through the reservoir for heat mining efficiency. The company was incorporated in 2017 and is headquartered in Houston, Texas, with an additional location in Berkeley, California.",2026-05-19 12:16:53.991797
XE,"X-Energy, Inc. designs and develops nuclear reactor technology. The company manufactures nuclear fuels. It provides the Xe-100 reactor that is designed to generate 80 megawatts of electric power or 200 megawatts of thermal output (heat) and TRISO-X, a fuel for reactors. The company was founded in 2009 and is headquartered in Rockville, Maryland.",2026-05-19 12:16:54.338158
HAWK,"HawkEye 360, Inc. operates as a space-enabled defense technology company in the United States. The company offers a shareable, battlefield-proven RF intelligence platform and database for warfighters during varied cycles of geopolitical volatility. The company's solutions include customized SIGINT solutions including hardware, algorithms, and software capabilities; monitoring maritime activity in a customer's regional domain; tracking military radar and air defense systems; tracking extremist group communications, movement, and activity; maintaining border security and providing tactical ISR on battlefield environments; ensuring navigational integrity of GNSS; and core signal processing algorithms used in national government SIGINT systems. The company designs, manufactures, owns, and operates a global constellation of satellites that collect data in proprietary formations. It also uses end-to-end signal processing algorithms to detect and characterize a wide set of emitter types, including radars, jammers, beacons, and mobile radio devices. Additionally, it provides proprietary analytics and insights to identify, track, analyze, and predict specific emitters, converting data into insights for our intelligence partners. The company caters to the United States Government defense, intelligence, and national security agencies, as well as allied international governments. HawkEye 360, Inc. was incorporated in 2015 and is based in Herndon, Virginia.",2026-05-19 12:16:54.858403
WOLF,"Wolfspeed, Inc., a semiconductor company, focuses on silicon carbide and gallium nitride (GaN) technologies in Europe, Hong Kong, China, rest of Asia Pacific, the United States, and internationally. The company offers silicon carbide and GaN materials, including silicon carbide bare wafers, epitaxial wafers, and GaN epitaxial layers on silicon carbide wafers to manufacture products for RF, power, and other applications. It also provides power devices, such as silicon carbide Schottky diodes, metal oxide semiconductor field effect transistors (MOSFETs), and power modules for customers and distributors to use in applications, including electric vehicles comprising charging infrastructure, server power supplies, solar inverters, uninterruptible power supplies, industrial power supplies, and other applications. The company was formerly known as Cree, Inc. and changed its name to Wolfspeed, Inc. in October 2021. Wolfspeed, Inc. was founded in 1987 and is headquartered in Durham, North Carolina.",2026-05-19 12:16:55.071664
RDW,"Redwire Corporation provides critical space solutions and space infrastructure for government and commercial customers in the United States, Europe, and internationally. It operates in two segments Space and Defense Tech. The company offers sensors and avionics systems, including star trackers and sun sensors, which are critical for accurate navigation and control of spacecraft; camera systems; infrared, space situational awareness, and position timing and navigation payloads; It also provides software suite that enables digital engineering and generation of high-fidelity, interactive modeling and simulations of individual components, entire spacecraft, and full constellations in a cloud-based environment. In addition, the company offers microgravity payloads, radio frequency systems, antennas, spacecraft platforms and missions, and in-space manufacturing and biotech facilities, as well as field-proven uncrewed airborne system (UAS) technology. Further, it provides combat-proven autonomous systems, optical sensors, advanced optics, resilient energy solutions, and radio frequency payloads, as well as provides intelligence, surveillance, and reconnaissance capabilities for customers including the U.S. Department of War, U.S. Federal Civilian Agencies and allied governments across multiple domains. Redwire Corporation was founded in 2010 and is headquartered in Jacksonville, Florida.",2026-05-19 12:16:55.295878
FLNC,"Fluence Energy, Inc., through its subsidiaries, provides energy storage and optimization software for renewables and storage applications in the Americas, the Asia Pacific, Europe, the Middle East, and Africa. It sells energy storage products with integrated hardware, software, and digital intelligence. The company's energy storage products include Gridstack Pro, a large-scale front-of-the-meter application; Gridstack, a front-of-the-meter application; Ultrastack for critical system requirements of distribution and transmission networks; Smartstack, a split architecture design, incorporating embedded intelligence and higher energy density compared to traditional AC systems. The company also provides operational and maintenance services; and digital applications. It serves independent power producers, developers, conglomerates, utilities/load-serving entities, and commercial and industrial customers. Fluence Energy, Inc. was founded in 2018 and is headquartered in Arlington, Virginia.",2026-05-19 12:16:55.570071
